id,name_th,province_th,amcode,pvcode
1001,เขตพระนคร,กรุงเทพมหานคร,01,10
1002,เขตดุสิต,กรุงเทพมหานคร,02,10
1003,เขตหนองจอก,กรุงเทพมหานคร,03,10
1004,เขตบางรัก,กรุงเทพมหานคร,04,10
1005,เขตบางเขน,กรุงเทพมหานคร,05,10
1006,เขตบางกะปิ,กรุงเทพมหานคร,06,10
1007,เขตปทุมวัน,กรุงเทพมหานคร,07,10
1008,เขตป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,08,10
1009,เขตพระโขนง,กรุงเทพมหานคร,09,10
1010,เขตมีนบุรี,กรุงเทพมหานคร,10,10
1011,เขตลาดกระบัง,กรุงเทพมหานคร,11,10
1012,เขตยานนาวา,กรุงเทพมหานคร,12,10
1013,เขตสัมพันธวงศ์,กรุงเทพมหานคร,13,10
1014,เขตพญาไท,กรุงเทพมหานคร,14,10
1015,เขตธนบุรี,กรุงเทพมหานคร,15,10
1016,เขตบางกอกใหญ่,กรุงเทพมหานคร,16,10
1017,เขตห้วยขวาง,กรุงเทพมหานคร,17,10
1018,เขตคลองสาน,กรุงเทพมหานคร,18,10
1019,เขตตลิ่งชัน,กรุงเทพมหานคร,19,10
1020,เขตบางกอกน้อย,กรุงเทพมหานคร,20,10
1021,เขตบางขุนเทียน,กรุงเทพมหานคร,21,10
1022,เขตภาษีเจริญ,กรุงเทพมหานคร,22,10
1023,เขตหนองแขม,กรุงเทพมหานคร,23,10
1024,เขตราษฎร์บูรณะ,กรุงเทพมหานคร,24,10
1025,เขตบางพลัด,กรุงเทพมหานคร,25,10
1026,เขตดินแดง,กรุงเทพมหานคร,26,10
1027,เขตบึงกุ่ม,กรุงเทพมหานคร,27,10
1028,เขตสาทร,กรุงเทพมหานคร,28,10
1029,เขตบางซื่อ,กรุงเทพมหานคร,29,10
1030,เขตจตุจักร,กรุงเทพมหานคร,30,10
1031,เขตบางคอแหลม,กรุงเทพมหานคร,31,10
1032,เขตประเวศ,กรุงเทพมหานคร,32,10
1033,เขตคลองเตย,กรุงเทพมหานคร,33,10
1034,เขตสวนหลวง,กรุงเทพมหานคร,34,10
1035,เขตจอมทอง,กรุงเทพมหานคร,35,10
1036,เขตดอนเมือง,กรุงเทพมหานคร,36,10
1037,เขตราชเทวี,กรุงเทพมหานคร,37,10
1038,เขตลาดพร้าว,กรุงเทพมหานคร,38,10
1039,เขตวัฒนา,กรุงเทพมหานคร,39,10
1040,เขตบางแค,กรุงเทพมหานคร,40,10
1041,เขตหลักสี่,กรุงเทพมหานคร,41,10
1042,เขตสายไหม,กรุงเทพมหานคร,42,10
1043,เขตคันนายาว,กรุงเทพมหานคร,43,10
1044,เขตสะพานสูง,กรุงเทพมหานคร,44,10
1045,เขตวังทองหลาง,กรุงเทพมหานคร,45,10
1046,เขตคลองสามวา,กรุงเทพมหานคร,46,10
1047,เขตบางนา,กรุงเทพมหานคร,47,10
1048,เขตทวีวัฒนา,กรุงเทพมหานคร,48,10
1049,เขตทุ่งครุ,กรุงเทพมหานคร,49,10
1050,เขตบางบอน,กรุงเทพมหานคร,50,10
1101,อำเภอเมืองสมุทรปราการ,สมุทรปราการ,01,11
1102,อำเภอบางบ่อ,สมุทรปราการ,02,11
1103,อำเภอบางพลี,สมุทรปราการ,03,11
1104,อำเภอพระประแดง,สมุทรปราการ,04,11
1105,อำเภอพระสมุทรเจดีย์,สมุทรปราการ,05,11
1106,อำเภอบางเสาธง,สมุทรปราการ,06,11
1201,อำเภอเมืองนนทบุรี,นนทบุรี,01,12
1202,อำเภอบางกรวย,นนทบุรี,02,12
1203,อำเภอบางใหญ่,นนทบุรี,03,12
1204,อำเภอบางบัวทอง,นนทบุรี,04,12
1205,อำเภอไทรน้อย,นนทบุรี,05,12
1206,อำเภอปากเกร็ด,นนทบุรี,06,12
1301,อำเภอเมืองปทุมธานี,ปทุมธานี,01,13
1302,อำเภอคลองหลวง,ปทุมธานี,02,13
1303,อำเภอธัญบุรี,ปทุมธานี,03,13
1304,อำเภอหนองเสือ,ปทุมธานี,04,13
1305,อำเภอลาดหลุมแก้ว,ปทุมธานี,05,13
1306,อำเภอลำลูกกา,ปทุมธานี,06,13
1307,อำเภอสามโคก,ปทุมธานี,07,13
1401,อำเภอพระนครศรีอยุธยา,พระนครศรีอยุธยา,01,14
1402,อำเภอท่าเรือ,พระนครศรีอยุธยา,02,14
1403,อำเภอนครหลวง,พระนครศรีอยุธยา,03,14
1404,อำเภอบางไทร,พระนครศรีอยุธยา,04,14
1405,อำเภอบางบาล,พระนครศรีอยุธยา,05,14
1406,อำเภอบางปะอิน,พระนครศรีอยุธยา,06,14
1407,อำเภอบางปะหัน,พระนครศรีอยุธยา,07,14
1408,อำเภอผักไห่,พระนครศรีอยุธยา,08,14
1409,อำเภอภาชี,พระนครศรีอยุธยา,09,14
1410,อำเภอลาดบัวหลวง,พระนครศรีอยุธยา,10,14
1411,อำเภอวังน้อย,พระนครศรีอยุธยา,11,14
1412,อำเภอเสนา,พระนครศรีอยุธยา,12,14
1413,อำเภอบางซ้าย,พระนครศรีอยุธยา,13,14
1414,อำเภออุทัย,พระนครศรีอยุธยา,14,14
1415,อำเภอมหาราช,พระนครศรีอยุธยา,15,14
1416,อำเภอบ้านแพรก,พระนครศรีอยุธยา,16,14
1501,อำเภอเมืองอ่างทอง,อ่างทอง,01,15
1502,อำเภอไชโย,อ่างทอง,02,15
1503,อำเภอป่าโมก,อ่างทอง,03,15
1504,อำเภอโพธิ์ทอง,อ่างทอง,04,15
1505,อำเภอแสวงหา,อ่างทอง,05,15
1506,อำเภอวิเศษชัยชาญ,อ่างทอง,06,15
1507,อำเภอสามโก้,อ่างทอง,07,15
1601,อำเภอเมืองลพบุรี,ลพบุรี,01,16
1602,อำเภอพัฒนานิคม,ลพบุรี,02,16
1603,อำเภอโคกสำโรง,ลพบุรี,03,16
1604,อำเภอชัยบาดาล,ลพบุรี,04,16
1605,อำเภอท่าวุ้ง,ลพบุรี,05,16
1606,อำเภอบ้านหมี่,ลพบุรี,06,16
1607,อำเภอท่าหลวง,ลพบุรี,07,16
1608,อำเภอสระโบสถ์,ลพบุรี,08,16
1609,อำเภอโคกเจริญ,ลพบุรี,09,16
1610,อำเภอลำสนธิ,ลพบุรี,10,16
1611,อำเภอหนองม่วง,ลพบุรี,11,16
1701,อำเภอเมืองสิงห์บุรี,สิงห์บุรี,01,17
1702,อำเภอบางระจัน,สิงห์บุรี,02,17
1703,อำเภอค่ายบางระจัน,สิงห์บุรี,03,17
1704,อำเภอพรหมบุรี,สิงห์บุรี,04,17
1705,อำเภอท่าช้าง,สิงห์บุรี,05,17
1706,อำเภออินทร์บุรี,สิงห์บุรี,06,17
1801,อำเภอเมืองชัยนาท,ชัยนาท,01,18
1802,อำเภอมโนรมย์,ชัยนาท,02,18
1803,อำเภอวัดสิงห์,ชัยนาท,03,18
1804,อำเภอสรรพยา,ชัยนาท,04,18
1805,อำเภอสรรคบุรี,ชัยนาท,05,18
1806,อำเภอหันคา,ชัยนาท,06,18
1807,อำเภอหนองมะโมง,ชัยนาท,07,18
1808,อำเภอเนินขาม,ชัยนาท,08,18
1901,อำเภอเมืองสระบุรี,สระบุรี,01,19
1902,อำเภอแก่งคอย,สระบุรี,02,19
1903,อำเภอหนองแค,สระบุรี,03,19
1904,อำเภอวิหารแดง,สระบุรี,04,19
1905,อำเภอหนองแซง,สระบุรี,05,19
1906,อำเภอบ้านหมอ,สระบุรี,06,19
1907,อำเภอดอนพุด,สระบุรี,07,19
1908,อำเภอหนองโดน,สระบุรี,08,19
1909,อำเภอพระพุทธบาท,สระบุรี,09,19
1910,อำเภอเสาไห้,สระบุรี,10,19
1911,อำเภอมวกเหล็ก,สระบุรี,11,19
1912,อำเภอวังม่วง,สระบุรี,12,19
1913,อำเภอเฉลิมพระเกียรติ,สระบุรี,13,19
2001,อำเภอเมืองชลบุรี,ชลบุรี,01,20
2002,อำเภอบ้านบึง,ชลบุรี,02,20
2003,อำเภอหนองใหญ่,ชลบุรี,03,20
2004,อำเภอบางละมุง,ชลบุรี,04,20
2005,อำเภอพานทอง,ชลบุรี,05,20
2006,อำเภอพนัสนิคม,ชลบุรี,06,20
2007,อำเภอศรีราชา,ชลบุรี,07,20
2008,อำเภอเกาะสีชัง,ชลบุรี,08,20
2009,อำเภอสัตหีบ,ชลบุรี,09,20
2010,อำเภอบ่อทอง,ชลบุรี,10,20
2011,อำเภอเกาะจันทร์,ชลบุรี,11,20
2101,อำเภอเมืองระยอง,ระยอง,01,21
2102,อำเภอบ้านฉาง,ระยอง,02,21
2103,อำเภอแกลง,ระยอง,03,21
2104,อำเภอวังจันทร์,ระยอง,04,21
2105,อำเภอบ้านค่าย,ระยอง,05,21
2106,อำเภอปลวกแดง,ระยอง,06,21
2107,อำเภอเขาชะเมา,ระยอง,07,21
2108,อำเภอนิคมพัฒนา,ระยอง,08,21
2201,อำเภอเมืองจันทบุรี,จันทบุรี,01,22
2202,อำเภอขลุง,จันทบุรี,02,22
2203,อำเภอท่าใหม่,จันทบุรี,03,22
2204,อำเภอโป่งน้ำร้อน,จันทบุรี,04,22
2205,อำเภอมะขาม,จันทบุรี,05,22
2206,อำเภอแหลมสิงห์,จันทบุรี,06,22
2207,อำเภอสอยดาว,จันทบุรี,07,22
2208,อำเภอแก่งหางแมว,จันทบุรี,08,22
2209,อำเภอนายายอาม,จันทบุรี,09,22
2210,อำเภอเขาคิชฌกูฏ,จันทบุรี,10,22
2301,อำเภอเมืองตราด,ตราด,01,23
2302,อำเภอคลองใหญ่,ตราด,02,23
2303,อำเภอเขาสมิง,ตราด,03,23
2304,อำเภอบ่อไร่,ตราด,04,23
2305,อำเภอแหลมงอบ,ตราด,05,23
2306,อำเภอเกาะกูด,ตราด,06,23
2307,อำเภอเกาะช้าง,ตราด,07,23
2401,อำเภอเมืองฉะเชิงเทรา,ฉะเชิงเทรา,01,24
2402,อำเภอบางคล้า,ฉะเชิงเทรา,02,24
2403,อำเภอบางน้ำเปรี้ยว,ฉะเชิงเทรา,03,24
2404,อำเภอบางปะกง,ฉะเชิงเทรา,04,24
2405,อำเภอบ้านโพธิ์,ฉะเชิงเทรา,05,24
2406,อำเภอพนมสารคาม,ฉะเชิงเทรา,06,24
2407,อำเภอราชสาส์น,ฉะเชิงเทรา,07,24
2408,อำเภอสนามชัยเขต,ฉะเชิงเทรา,08,24
2409,อำเภอแปลงยาว,ฉะเชิงเทรา,09,24
2410,อำเภอท่าตะเกียบ,ฉะเชิงเทรา,10,24
2411,อำเภอคลองเขื่อน,ฉะเชิงเทรา,11,24
2501,อำเภอเมืองปราจีนบุรี,ปราจีนบุรี,01,25
2502,อำเภอกบินทร์บุรี,ปราจีนบุรี,02,25
2503,อำเภอนาดี,ปราจีนบุรี,03,25
2506,อำเภอบ้านสร้าง,ปราจีนบุรี,06,25
2507,อำเภอประจันตคาม,ปราจีนบุรี,07,25
2508,อำเภอศรีมหาโพธิ,ปราจีนบุรี,08,25
2509,อำเภอศรีมโหสถ,ปราจีนบุรี,09,25
2601,อำเภอเมืองนครนายก,นครนายก,01,26
2602,อำเภอปากพลี,นครนายก,02,26
2603,อำเภอบ้านนา,นครนายก,03,26
2604,อำเภอองครักษ์,นครนายก,04,26
2701,อำเภอเมืองสระแก้ว,สระแก้ว,01,27
2702,อำเภอคลองหาด,สระแก้ว,02,27
2703,อำเภอตาพระยา,สระแก้ว,03,27
2704,อำเภอวังน้ำเย็น,สระแก้ว,04,27
2705,อำเภอวัฒนานคร,สระแก้ว,05,27
2706,อำเภออรัญประเทศ,สระแก้ว,06,27
2707,อำเภอเขาฉกรรจ์,สระแก้ว,07,27
2708,อำเภอโคกสูง,สระแก้ว,08,27
2709,อำเภอวังสมบูรณ์,สระแก้ว,09,27
3001,อำเภอเมืองนครราชสีมา,นครราชสีมา,01,30
3002,อำเภอครบุรี,นครราชสีมา,02,30
3003,อำเภอเสิงสาง,นครราชสีมา,03,30
3004,อำเภอคง,นครราชสีมา,04,30
3005,อำเภอบ้านเหลื่อม,นครราชสีมา,05,30
3006,อำเภอจักราช,นครราชสีมา,06,30
3007,อำเภอโชคชัย,นครราชสีมา,07,30
3008,อำเภอด่านขุนทด,นครราชสีมา,08,30
3009,อำเภอโนนไทย,นครราชสีมา,09,30
3010,อำเภอโนนสูง,นครราชสีมา,10,30
3011,อำเภอขามสะแกแสง,นครราชสีมา,11,30
3012,อำเภอบัวใหญ่,นครราชสีมา,12,30
3013,อำเภอประทาย,นครราชสีมา,13,30
3014,อำเภอปักธงชัย,นครราชสีมา,14,30
3015,อำเภอพิมาย,นครราชสีมา,15,30
3016,อำเภอห้วยแถลง,นครราชสีมา,16,30
3017,อำเภอชุมพวง,นครราชสีมา,17,30
3018,อำเภอสูงเนิน,นครราชสีมา,18,30
3019,อำเภอขามทะเลสอ,นครราชสีมา,19,30
3020,อำเภอสีคิ้ว,นครราชสีมา,20,30
3021,อำเภอปากช่อง,นครราชสีมา,21,30
3022,อำเภอหนองบุญมาก,นครราชสีมา,22,30
3023,อำเภอแก้งสนามนาง,นครราชสีมา,23,30
3024,อำเภอโนนแดง,นครราชสีมา,24,30
3025,อำเภอวังน้ำเขียว,นครราชสีมา,25,30
3026,อำเภอเทพารักษ์,นครราชสีมา,26,30
3027,อำเภอเมืองยาง,นครราชสีมา,27,30
3028,อำเภอพระทองคำ,นครราชสีมา,28,30
3029,อำเภอลำทะเมนชัย,นครราชสีมา,29,30
3030,อำเภอบัวลาย,นครราชสีมา,30,30
3031,อำเภอสีดา,นครราชสีมา,31,30
3032,อำเภอเฉลิมพระเกียรติ,นครราชสีมา,32,30
3101,อำเภอเมืองบุรีรัมย์,บุรีรัมย์,01,31
3102,อำเภอคูเมือง,บุรีรัมย์,02,31
3103,อำเภอกระสัง,บุรีรัมย์,03,31
3104,อำเภอนางรอง,บุรีรัมย์,04,31
3105,อำเภอหนองกี่,บุรีรัมย์,05,31
3106,อำเภอละหานทราย,บุรีรัมย์,06,31
3107,อำเภอประโคนชัย,บุรีรัมย์,07,31
3108,อำเภอบ้านกรวด,บุรีรัมย์,08,31
3109,อำเภอพุทไธสง,บุรีรัมย์,09,31
